x,y,z,labels,word
4.171264161538462,12.341680153846154,10.130202884615386,0.0,PRIVACY
3.0450007375,11.04583775,8.48116675,1.0,GRAPHS
2.1592250115384615,10.606572615384618,11.386884048076922,2.0,NUMERICAL
2.4448701567164184,11.770501014925369,8.533359292537314,3.0,GRAPH
3.406632411764705,12.493494294117646,9.122105,4.0,FEDERATED
0.81265699,13.166517299999999,9.5300155,5.0,MALWARE
2.8139216555555557,12.271315611111111,9.805760666666666,6.0,JAMMING
2.580813020930233,12.169433767441864,10.873901616279069,7.0,CONTROL
1.7752568199999998,12.85617385,9.554393350000002,8.0,COVERAGE
2.9032250758620686,13.851298189655173,8.7440105,9.0,SOCIAL
1.0980056785714285,11.365009,8.105717571428572,10.0,GAN
1.1255063777777778,11.975732999999998,9.429613444444445,11.0,ARCHIVE
1.144159857142857,13.965803249999999,8.643665857142855,12.0,MUSIC
0.630747105,13.633384583333331,8.76210925,13.0,MISINFORMATION
0.732190594736842,11.423578999999998,8.935338315789474,14.0,SHADOW
2.179642025,14.045422125000002,8.944236687500002,15.0,ANSWERING
2.2563253409090906,13.801881772727274,9.715402363636361,16.0,SOFTWARE
0.5284927475,12.224963875,8.645873875,17.0,PICKING
1.0595319377777779,12.290976074074079,8.311930907407408,18.0,SUPERVISED
-0.07078607754857143,12.49715617142857,254.2308266714286,19.0,TRANSFORMER
0.12362766881818184,11.721466924242423,9.163691409090909,20.0,3D
0.9488306299999999,13.28390531818182,7.728969827272727,21.0,LANGUAGES
1.382285525,13.34764534375,8.02551266875,22.0,SUMMARIES
